headword_as_printed	expanded_form	pos	glosses	source_page	scan_url	bucket
Թաղանթագեղ, –զարդ		a.	furnished with a membrane, membranous; furnished with a membrane, membranous.	dict-246.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf121.jpg	body
Թաղդ				dict-245.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf120.jpg	body
Թաղեգործ		s.	felt-maker.	dict-246.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf121.jpg	body
Թաղկ		s.	talc; talc.	dict-246.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf121.jpg	body
Թաղնորդ		a.	living in the same neighbourhood; living in the same neighbourhood.	dict-246.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf121.jpg	body
Թամբաստակ, –տոց		s.	rag, tatter, old clothes	dict-246.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf121.jpg	body
Թայրաթոռք		s. pl.	the relations, the kindred; the relations, the kindred.	dict-246.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf121.jpg	body
Թանդ		a.	saddle-girth.	dict-247.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf121.jpg	body
Թանդուզեմ		vn.	to shun, to elude, to set one's self free, to steal, or to get away, to escape, to fly from, to avoid; to be ashamed, to shuffle, to use chicanery	dict-247.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf121.jpg	body
Թանկագին				dict-247.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf121.jpg	body
Թանձրագանգաղ		a.	heavy and slow,	dict-247.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf121.jpg	body
Թանձրախոր		մօր.	very deep mud; pond, marsh. [dense.	dict-247.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf121.jpg	body
Թաշեմ		vn.	to mumble, to mutter.	dict-248.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf122.jpg	body
Թապուլ				dict-248.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf122.jpg	body
Թատերախաղք		s.	dramatic representation, play, piece; dramatic representation, play, piece;	dict-248.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf122.jpg	body
Թարախարգել		a.	hindering the discharge of purulent matter.	dict-249.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf122.jpg	body
Թարթ		s.	twinkling of an eye, wink, twinkling, trice; ի -ական, in a twinkling, in a trice, in a wink, in no time; -ք, eye-lid.	dict-249.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf122.jpg	body
Թարթել or Թարթիլ ական, աչաց			to wink.	dict-249.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf122.jpg	body
Թարթել or Թարթիլ ական, աչաց			to wink.	dict-249.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf122.jpg	body
Թարխ		s.	sketch, essay.	dict-249.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf122.jpg	body
Թաւընկակ				dict-250.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf123.jpg	body
